condition,seed,scenario,n_episodes,sim_steps,wall_s,reward,reward_std,ep_length,ep_length_std,vx_abs_err,vx_abs_err_std,vy_abs_err,vy_abs_err_std,mean_height,mean_height_std,below_thresh_frac,below_thresh_frac_std,energy_per_step,energy_per_step_std,torque_peak,torque_peak_std,torque_peak_std_acrossdofs,torque_peak_std_acrossdofs_std,energy_std_acrossdofs,energy_std_acrossdofs_std,mean_jerk,mean_jerk_std,fatigue_max_acrossdofs,fatigue_max_acrossdofs_std,fatigue_std_acrossdofs,fatigue_std_acrossdofs_std,early_terminated,early_terminated_std,survived,survived_std,error
reference,1,payload_8kg,64,4419,66.1,72.08736239001155,48.32653586106575,3535.234375,342.37905950408935,0.5417722417041659,0.2737292236593553,0.07553946365078446,0.03374768130014534,0.16086036794877145,0.07470717432872549,0.7182830310193822,0.25720168870349297,0.9118283949501347,0.40744067560640757,24.76275807619095,1.2304263419780077,2.0534922797232866,0.6499095783916022,0.03220886156486813,0.01564238032432038,739.6080736517906,381.6907197918227,0.9651580061763525,0.034157035659559846,0.11275642469990999,0.022324160372121826,1.0,0.0,0.0,0.0,
reference,1,push_x_1p5,64,3578,49.7,263.8660379052162,28.234750918117307,3540.140625,302.875,0.07996173144783825,0.039484436773223885,0.05022100862697698,0.011121954990906527,0.3166834474541247,0.037804195940451736,0.1485922262800159,0.1298403499638529,0.6787946652621031,0.02757353040862424,26.551810324192047,2.86610637137659,4.3211649954319,0.7889273179681501,0.026930399355478585,0.0007410489218825445,723.5635662078857,107.86978602752504,0.8915700474753976,0.07285536453919791,0.17679486190900207,0.02299436377757176,1.0,0.0,0.0,0.0,
reference,2,payload_8kg,65,3578,54.0,60.58095575295962,46.8617641448431,2936.5692307692307,1061.613394338288,0.3935390444902273,0.19845485826312717,0.12372789139357897,0.04773918702437572,0.2161876135147535,0.06715499402615535,0.5219113600941805,0.3111384238242673,1.3944563893171458,0.31726171285214055,26.320212173461915,1.2735422989049991,2.832456300808833,0.39875846165271167,0.06264397842952839,0.017602730420762134,835.3684316781851,205.90405280071656,1.0539564536168025,0.024954855734662554,0.14690546347544745,0.01885146399463815,1.0,0.0,0.0,0.0,
reference,2,push_x_1p5,65,3578,50.3,253.70531252347507,58.84368419822482,3332.630769230769,689.0532356345636,0.07930081446583455,0.06120443944261069,0.06648965260157218,0.02097663883185781,0.31812381400511813,0.039978494680945005,0.14510137980015805,0.15249599263517188,0.7151220697623033,0.03516859460259361,26.12134132385254,2.913972084594877,4.433563375473023,0.906418809165467,0.03874977729641474,0.0009157578962884843,923.1912259615384,125.30089365049663,0.9329173124753511,0.08329450764774404,0.20249030314959013,0.02530826966600125,1.0,0.0,0.0,0.0,
reference,3,payload_8kg,67,3578,53.8,73.61104568861313,53.949015496873656,2920.5373134328356,1078.9548580491328,0.3980291906132627,0.19435637584103602,0.10296438706677351,0.04453601851430126,0.21842013455148954,0.06173974094595024,0.4973948767770137,0.3138142623777635,1.168812952824493,0.21708025101896194,25.77451563593167,2.0621054382314066,2.5488027618892155,0.5904440507072339,0.04714804865531067,0.012381628941990791,965.1524917830283,536.388725083639,0.9962506178599685,0.03633532379932372,0.12340619959937993,0.020210425902808145,1.0,0.0,0.0,0.0,
reference,3,push_x_1p5,64,3588,51.6,254.80274530057795,75.79982918168054,3232.859375,913.6240911396296,0.10481747327139601,0.23467602318515055,0.06336912381811999,0.07406848281166946,0.3028213591896929,0.07143589685060349,0.21181586588500068,0.2194046803289443,0.7069152630865574,0.3133926440389728,25.380304157733917,2.5428651400256075,4.134824302047491,0.9294777725889655,0.037898834998486564,0.029192248714140633,841.6374273300171,489.86563644440406,0.8965733568184078,0.08910075861055901,0.1806748639792204,0.018653533748283196,1.0,0.0,0.0,0.0,
reference,4,payload_8kg,81,3578,55.1,39.59923421343168,38.155681261439284,2072.061728395062,1237.9950458874928,0.4856449356417597,0.1514793763084417,0.14594783199330172,0.044757635388987534,0.23283058358931247,0.08427132709293098,0.46936921885720007,0.3847105969485744,1.276050857555719,0.17573968459243444,26.184424576935946,1.5067753517355538,2.8387858588018533,0.49999594849207796,0.05236301805686067,0.011574381117811406,921.3122829861111,224.5782225120692,1.0254281258877413,0.04213990770941754,0.14109366258353362,0.026649495894034182,1.0,0.0,0.0,0.0,
reference,4,push_x_1p5,64,3578,48.8,223.094622194767,79.82137003668345,3010.75,1006.6415323257702,0.08761172433150932,0.041965613135667594,0.08213225967483595,0.02759028588929584,0.329857453238219,0.04204898905737885,0.11813275956592406,0.13850835988999757,0.802818232215941,0.0247751982886457,26.202908992767334,2.6916781524838087,4.5732353664934635,0.7971637187020559,0.0421836519963108,0.0012842890408424406,816.3393182754517,103.69771276041917,0.904275887645781,0.08549216537381647,0.18817221792414784,0.02216390356290694,1.0,0.0,0.0,0.0,
reference,5,payload_8kg,71,3578,55.4,42.45122533868736,42.497664404444926,2843.9154929577467,1176.7598097740238,0.5191490742522227,0.2262989065015075,0.106281551571799,0.046211652893639536,0.18710216746049027,0.08025390883080946,0.6143335574937814,0.34945591881696025,1.1989032913681488,0.4318224052943674,26.160738474886184,1.5945909894514414,2.5903254008628953,0.5227770115711268,0.051585009865935,0.02211186398312525,764.0866170533945,288.68920416825523,1.0409261911687717,0.033619075247049164,0.12920432296437276,0.021156427658308764,1.0,0.0,0.0,0.0,
reference,5,push_x_1p5,64,3578,49.3,237.04907137155533,77.65083583666053,3111.828125,922.0252820740493,0.07452667184406891,0.051247714182420155,0.08357052382780239,0.03413952157184557,0.31270571146160364,0.0421183729779281,0.155806490649411,0.15631839200076902,0.7270167171955109,0.04425179628388028,25.624696791172028,2.5821449984391474,4.1889860443770885,0.9291971157059337,0.035783793893642724,0.0013235936657866139,958.2546806335449,118.8527909560695,0.8653226168826222,0.0710039279768513,0.18731864169239998,0.023073069913388016,1.0,0.0,0.0,0.0,
